Date,Underlying,C165,C170,C185,C190,C205,P165,P170,P185,P190,P205
2025-09-09,170.76,12.12,9,3.13,2.06,0.62,5.18,7.25,18.4,22.55,36.21
2025-09-10,177.33,16.92,13.3,5.4,3.8,1.21,3.5,4.99,12.06,15.43,27.15
2025-09-11,177.17,16.5,12.72,5.13,3.5,1.07,3.35,4.65,11.95,15.4,
2025-09-12,177.82,16.6,13.1,5.08,3.5,1.01,3.05,4.35,11.55,15.0,
2025-09-15,177.75,16.22,12.95,4.97,3.35,0.99,3.05,4.5,11.45,14.9,27.7
2025-09-16,174.88,14.58,11.1,4.1,2.74,0.83,3.75,5.35,13.25,17.2,
2025-09-17,170.29,11.14,8.13,2.6,1.68,0.49,5.05,7.1,16.33,20.51,
2025-09-18,176.24,16,11.75,4.36,2.89,0.83,3.25,4.65,12.22,15.58,
2025-09-19,176.67,15.5,11.87,4.17,2.75,0.74,3.0,4.28,12.4,16.2,
2025-09-22,183.61,21.39,17.4,8,5.87,2.1,2.01,3.02,8.6,11.8,23.05
2025-09-23,178.43,17.18,13.5,5.28,3.65,1.06,2.87,4.17,10.95,13.72,25.45
2025-09-24,176.97,15.55,12.05,4.29,2.82,0.74,2.92,4.32,11.71,15.8,
2025-09-25,177.69,15.55,12.3,4.4,2.9,0.74,2.66,4.03,11.15,14.3,28.85
2025-09-26,178.19,15.95,12.2,3.97,2.49,0.55,2.22,3.4,10.4,14.5,26.95
2025-09-29,181.85,18.19,14.95,5.34,3.4,0.74,1.67,2.45,7.9,11.2,22.65
2025-09-30,186.58,23.2,17.98,8.22,5.7,1.51,1.24,1.86,5.98,8.48,19.2
2025-10-01,187.24,24.26,19.35,8.44,5.75,1.44,1.11,1.69,5.62,7.9,18.4
2025-10-02,188.89,25.35,20.75,9.2,6.4,1.6,0.94,1.41,4.77,6.9,17.24
2025-10-03,187.62,23.93,19.32,7.93,5.2,1.05,1.0,1.48,5,7.29,16.96
2025-10-06,185.54,22.08,17.98,6.9,4.47,0.9,1.18,1.78,5.95,8.5,19.4
2025-10-07,185.04,21.4,17.53,6.18,3.9,0.67,1.01,1.57,5.79,8.4,17.45
2025-10-08,189.11,24.34,20.45,8.6,5.68,1.2,0.66,1.02,4.02,6.15,16.99
2025-10-09,192.57,28.4,23.65,10.7,7.45,1.63,0.51,0.77,2.95,4.5,13.5
2025-10-10,183.16,20.1,16,5.78,3.7,0.63,1.77,2.56,7.53,10.15,20.44
2025-10-13,188.32,24.22,19.5,7.5,4.6,0.63,0.57,0.91,3.85,6.03,17.1
2025-10-14,180.03,16.7,12.4,3.25,1.68,0.23,1.29,2.08,7.9,11.4,24.45
2025-10-15,179.83,15.95,12.04,2.87,1.44,0.18,1.12,1.9,7.8,11.33,25.9
2025-10-16,181.81,17.7,13.29,3.35,1.61,0.15,0.77,1.37,6.35,9.68,23.25
2025-10-17,183.22,18.55,14.15,3.15,1.34,0.08,0.42,0.78,4.81,7.97,21.55
2025-10-20,182.64,18.05,13.3,2.06,0.67,0.04,0.26,0.5,4.35,7.95,22.02
2025-10-21,181.16,16.65,11.75,1.11,0.27,0.03,0.21,0.42,4.85,8.75,23.55
2025-10-22,180.28,15.3,10.45,0.54,0.12,0.01,0.16,0.29,5.35,9.9,24.95
2025-10-23,182.16,17.25,12.4,0.43,0.05,0.01,0.04,0.08,3.21,7.85,22.85
2025-10-24,186.26,21.25,16.3,1.21,0.01,0.01,0.01,0.01,0.01,3.65,18.5
